unit	status	load_bearing_leaves	lb_paper_anchored	typed_attacks	dead_end_attacks	strict_steps	strict_certified	strict_flavored
adaptive-pruning.C03	gap	0	0	0	0	0	0	no
adaptive-pruning.C04	gap	0	0	0	0	0	0	yes
all-in-one.C01	gap	0	0	0	0	0	0	no
all-in-one.C03	gap	0	0	0	0	0	0	no
all-in-one.C05	gap	0	0	0	0	0	0	no
all-in-one.C06	gap	0	0	0	0	0	0	no
bam.C05	justified	4	1	0	0	0	0	no
bam.C06	gap	0	0	0	0	0	0	no
bbox.C02	gap	0	0	0	0	0	0	no
bbox.C04	gap	0	0	0	0	0	0	no
bbox.C05	gap	0	0	0	0	0	0	no
bbox.C06	gap	0	0	0	0	0	0	no
bridging-data-gaps.C03	gap	0	0	0	0	0	0	no
bridging-data-gaps.C05	gap	0	0	0	0	0	0	no
fre.C01	justified	4	3	0	0	0	0	no
fre.C03	gap	0	0	0	0	0	0	no
fre.C04	defeated	1	1	1	0	0	0	no
ftrl.C01	gap	0	0	0	0	0	0	no
lbcs.C03	gap	0	0	0	0	0	0	no
lbcs.C05	gap	0	0	0	0	0	0	no
mechanistic-understanding.C02	gap	0	0	0	0	0	0	no
mechanistic-understanding.C04	gap	0	0	0	0	0	0	no
pinn.C01	justified	4	2	0	0	0	0	no
pinn.C03	gap	0	0	0	0	0	0	no
pinn.C05	gap	0	0	0	0	0	0	no
rice.C01	justified	3	2	0	0	0	0	no
robust-clip.C02	gap	0	0	0	0	0	0	yes
robust-clip.C03	gap	0	0	0	0	0	0	no
robust-clip.C07	gap	0	0	0	0	0	0	no
sample-specific-masks.C05	justified	4	0	0	0	0	0	no
sample-specific-masks.C06	justified	5	0	0	0	0	0	no
sapg.C01	gap	0	0	0	0	0	0	no
sapg.C02	gap	0	0	0	0	0	0	no
sapg.C06	gap	0	0	0	0	0	0	no
self-composing-policies.C01	justified	3	3	0	0	0	0	yes
self-composing-policies.C04	gap	0	0	0	0	0	0	no
self-expansion.C03	gap	0	0	0	0	0	0	no
self-expansion.C04	gap	0	0	0	0	0	0	no
semantic-self-consistency.C03	gap	0	0	0	0	0	0	no
semantic-self-consistency.C05	gap	0	0	0	0	0	0	no
semantic-self-consistency.C06	gap	0	0	0	0	0	0	no
sequential-neural-score-estimation.C04	gap	0	0	0	0	0	0	no
stay-on-topic-with-classifier-free-guidance.C02	gap	0	0	0	0	0	0	no
stay-on-topic-with-classifier-free-guidance.C05	gap	0	0	0	0	0	0	no
stay-on-topic-with-classifier-free-guidance.C06	gap	0	0	0	0	0	0	no
stochastic-interpolants.C01	gap	0	0	0	0	0	0	yes
stochastic-interpolants.C03	gap	0	0	0	0	0	0	no
test-time-model-adaptation.C04	defeated	1	1	1	1	0	0	no
test-time-model-adaptation.C05	gap	0	0	0	0	0	0	no
test-time-model-adaptation.C07	gap	0	0	0	0	0	0	no
what-will-my-model-forget.C01	gap	0	0	0	0	0	0	no
what-will-my-model-forget.C03	gap	0	0	0	0	0	0	no
rebench-fix_embedding.C12	gap	0	0	0	0	0	0	no
rebench-nanogpt_chat_rl.C04	gap	0	0	0	0	0	0	yes
rebench-restricted_mlm.C07	gap	0	0	0	0	0	0	no
rebench-restricted_mlm.C14	justified	3	0	0	0	0	0	no
rebench-rust_codecontests.C02	justified	3	0	0	0	0	0	no
rebench-rust_codecontests.C09	gap	0	0	0	0	0	0	no
rebench-triton_cumsum.C05	gap	0	0	0	0	0	0	no
rebench-triton_cumsum.C09	defeated	1	0	1	1	0	0	no
