unit	leaf_id	formal_target	role	claim_id	claim_nl	kind	provenance	refs
adaptive-pruning.C04	e4	reports(e03, score_cell(full_config(kurtosis_salience, apt_llama2_7b), openllm_avg, 50))	support	c04a	The kurtosis ablation's OpenLLM-average drop from 50.0 to 38.1 is a 23.8% relative drop, exceeding the 5% falsification threshold	observed	ai-executed	logic/experiments.md#E03,Table-5
adaptive-pruning.C04	e5	reports(e03, score_cell(ablated_config(kurtosis_salience, apt_llama2_7b), openllm_avg, 38.1))	support	c04a	The kurtosis ablation's OpenLLM-average drop from 50.0 to 38.1 is a 23.8% relative drop, exceeding the 5% falsification threshold	observed	ai-executed	logic/experiments.md#E03,Table-5
bam.C05	e1	reports(e01, compares(bam, advi, convergence_speed, vi_benchmarks, favorable))	support	c05	BaM converges faster than ADVI in gradient evaluations across benchmark families (Gaussian, sinh-arcsinh, PosteriorDB, CIFAR-10 VAE): lower KL or relative mean error at equal gradient evaluations, ADVI learning rate grid-tuned so the baseline is not handicapped	observed	ai-executed	logic/experiments.md#E01,logic/experiments.md#E02,logic/experiments.md#E03,logic/experiments.md#E04,Figure-5-1,Figure-5-2,trace/exploration_tree.yaml#N11
bam.C05	e2	matched_setup(bam, advi, e01)	support	c05	BaM converges faster than ADVI in gradient evaluations across benchmark families (Gaussian, sinh-arcsinh, PosteriorDB, CIFAR-10 VAE): lower KL or relative mean error at equal gradient evaluations, ADVI learning rate grid-tuned so the baseline is not handicapped	attested	ai-executed	logic/experiments.md#E01-step-3,logic/experiments.md#E03-step-4,logic/experiments.md#E04-step-3
bam.C05	e3	valid_measurement(convergence_speed, e01)	support	c05	BaM converges faster than ADVI in gradient evaluations across benchmark families (Gaussian, sinh-arcsinh, PosteriorDB, CIFAR-10 VAE): lower KL or relative mean error at equal gradient evaluations, ADVI learning rate grid-tuned so the baseline is not handicapped	attested	ai-executed	logic/experiments.md#E01-Metrics,logic/experiments.md#E04-step-8
bam.C05	e4	variance_reported(e01)	support	c05	BaM converges faster than ADVI in gradient evaluations across benchmark families (Gaussian, sinh-arcsinh, PosteriorDB, CIFAR-10 VAE): lower KL or relative mean error at equal gradient evaluations, ADVI learning rate grid-tuned so the baseline is not handicapped	observed	ai-executed	logic/experiments.md#E01,logic/experiments.md#E02,logic/experiments.md#E03
fre.C01	e1	reports(e01, compares(fre_all, sf, zero_shot_return, eval_suite, favorable))	support	c01	Using only K=32 (state, reward) pairs per task, FRE-all reaches an overall normalized score of 57 +- 9 vs SF 33 +- 12, GC-IQL 24 +- 12, GC-BC 18 +- 5 (FB/SF use K=5120), competitive-or-better across AntMaze/ExORL/Kitchen over 5 seeds	observed	ai-executed	evidence/tables/table1_main_results.md,Table-1-row-all
fre.C01	e2	matched_setup(fre_all, sf, e01)	support	c01	Using only K=32 (state, reward) pairs per task, FRE-all reaches an overall normalized score of 57 +- 9 vs SF 33 +- 12, GC-IQL 24 +- 12, GC-BC 18 +- 5 (FB/SF use K=5120), competitive-or-better across AntMaze/ExORL/Kitchen over 5 seeds	attested	ai-executed	logic/experiments.md#E01-Procedure-steps-1-7,Table-1-Conditions
fre.C01	e3	valid_measurement(zero_shot_return, e01)	support	c01	Using only K=32 (state, reward) pairs per task, FRE-all reaches an overall normalized score of 57 +- 9 vs SF 33 +- 12, GC-IQL 24 +- 12, GC-BC 18 +- 5 (FB/SF use K=5120), competitive-or-better across AntMaze/ExORL/Kitchen over 5 seeds	attested	ai-executed	logic/experiments.md#E01-Procedure-steps-4-7,Table-1-caption
fre.C01	e4	variance_reported(e01)	support	c01	Using only K=32 (state, reward) pairs per task, FRE-all reaches an overall normalized score of 57 +- 9 vs SF 33 +- 12, GC-IQL 24 +- 12, GC-BC 18 +- 5 (FB/SF use K=5120), competitive-or-better across AntMaze/ExORL/Kitchen over 5 seeds	observed	ai-executed	evidence/tables/table1_main_results.md,logic/experiments.md#E01-Metrics
