# file	base	family	operator	expected	hs-diagnostic	lean-diagnostic	expected-location
A--undeclared-leaf-0.sexp	A	undeclared-leaves	undeclared-leaf	reject-R1			arg:3
A--undeclared-leaf-1.sexp	A	undeclared-leaves	undeclared-leaf	reject-R1			arg:3
A--hidden-rule-0.sexp	A	hidden-policy-extension	hidden-rule	reject-R1			arg:3
A--hidden-contrary-0.sexp	A	hidden-policy-extension	hidden-contrary	reject-R12			policy
A--wrong-subst-domain-0.sexp	A	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
A--wrong-premise-0.sexp	A	wrong-formulas	wrong-premise	reject-R4			arg:3
A--open-obligation-0.sexp	A	open-obligations	open-obligation	reject-R5			arg:3
A--hole-obligation-0.sexp	A	open-obligations	hole-obligation	reject-IncompleteArgument			arg:0
A--wrong-discharge-0.sexp	A	open-obligations	wrong-discharge	reject-R6			arg:0
A--trusted-assurance-0.sexp	A	certificate-tampering	trusted-assurance	reject-R7			arg:0
A--bad-attack-position-0.sexp	A	bad-attack-targets	bad-attack-position	reject-R10			attack:2
A--bad-attack-position-1.sexp	A	bad-attack-targets	bad-attack-position	reject-R10			attack:0
A--unlicensed-attack-0.sexp	A	bad-attack-targets	unlicensed-attack	reject-R11			attack:4
A--drop-covering-attack-0.sexp	A	bad-attack-targets	drop-covering-attack	reject-MissingConflict			conflict:3-0
A--group-conflict-0.sexp	A	data-integrity	group-conflict	reject-R9			group:mut_g
A--undeclared-pred-0.sexp	A	signature	undeclared-pred	reject-R2			policy
A--wrong-pred-arity-0.sexp	A	signature	wrong-pred-arity	reject-R2			policy
A--wrong-arg-sort-0.sexp	A	signature	wrong-arg-sort	reject-R2			policy
A--wrong-arg-sort-1.sexp	A	signature	wrong-arg-sort	reject-R2			policy
A--undeclared-con-0.sexp	A	signature	undeclared-con	reject-R2			policy
A--wrong-theta-sort-0.sexp	A	signature	wrong-theta-sort	reject-R2			policy
A--out-of-scope-var-0.sexp	A	hidden-policy-extension	out-of-scope-var	reject-R12			policy
A--sigma-duplicate-sort-0.sexp	A	signature	sigma-duplicate-sort	reject-R2			policy
A--sigma-shadow-base-0.sexp	A	signature	sigma-shadow-base	reject-R2			policy
A--sigma-duplicate-con-0.sexp	A	signature	sigma-duplicate-con	reject-R2			policy
A--sigma-duplicate-pred-0.sexp	A	signature	sigma-duplicate-pred	reject-R2			policy
A--sigma-con-undeclared-sort-0.sexp	A	signature	sigma-con-undeclared-sort	reject-R2			policy
A--sigma-pred-undeclared-sort-0.sexp	A	signature	sigma-pred-undeclared-sort	reject-R2			policy
A--duplicate-backend-0.sexp	A	certificate-tampering	duplicate-backend	reject-R13			replay
A--unknown-backend-0.sexp	A	certificate-tampering	unknown-backend	reject-R13			replay
malformed/A--codec-sigma-junk-0.sexp	A	codec-corruption	codec-sigma-junk	codec-reject	wrong number of fields for sigma	sigma: arity	-
malformed/A--codec-sigma-order-0.sexp	A	codec-corruption	codec-sigma-order	codec-reject	unit: unexpected section	unit: unexpected section	-
malformed/A--codec-junk-section-0.sexp	A	codec-corruption	codec-junk-section	codec-reject	wrong number of fields for check-input	check-input: malformed check input	-
malformed/A--codec-core-version-0.sexp	A	codec-corruption	codec-core-version	codec-reject	unsupported core version	unsupported core version	-
malformed/A--codec-replay-order-0.sexp	A	codec-corruption	codec-replay-order	codec-reject	replay-id core: expected (core	replay-id: wrong field order	-
malformed/A--codec-theory-mismatch-0.sexp	A	codec-corruption	codec-theory-mismatch	codec-reject	theory identity does not match replay identity	replay theories differ from unit theories	-
malformed/A--codec-dangling-attack-0.sexp	A	codec-corruption	codec-dangling-attack	codec-reject	attack endpoint is not a declared argument	attack endpoint is not a declared argument	-
malformed/A--codec-truncate-0.sexp	A	codec-corruption	codec-truncate	codec-reject	unclosed list	unclosed list	-
B--undeclared-leaf-0.sexp	B	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
B--undeclared-leaf-1.sexp	B	undeclared-leaves	undeclared-leaf	reject-R1			arg:1
B--hidden-rule-0.sexp	B	hidden-policy-extension	hidden-rule	reject-R1			arg:1
B--hidden-contrary-0.sexp	B	hidden-policy-extension	hidden-contrary	reject-R12			policy
B--wrong-subst-domain-0.sexp	B	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
B--wrong-premise-0.sexp	B	wrong-formulas	wrong-premise	reject-R4			arg:1
B--open-obligation-0.sexp	B	open-obligations	open-obligation	reject-R5			arg:1
B--hole-obligation-0.sexp	B	open-obligations	hole-obligation	reject-IncompleteArgument			arg:1
B--wrong-discharge-0.sexp	B	open-obligations	wrong-discharge	reject-R6			arg:1
B--trusted-assurance-0.sexp	B	certificate-tampering	trusted-assurance	reject-R7			arg:1
B--unlicensed-attack-0.sexp	B	bad-attack-targets	unlicensed-attack	reject-R11			attack:2
B--drop-covering-attack-0.sexp	B	bad-attack-targets	drop-covering-attack	reject-MissingConflict			conflict:1-0
B--group-conflict-0.sexp	B	data-integrity	group-conflict	reject-R9			group:mut_g
B--undeclared-pred-0.sexp	B	signature	undeclared-pred	reject-R2			policy
B--wrong-pred-arity-0.sexp	B	signature	wrong-pred-arity	reject-R2			policy
B--wrong-arg-sort-0.sexp	B	signature	wrong-arg-sort	reject-R2			policy
B--wrong-arg-sort-1.sexp	B	signature	wrong-arg-sort	reject-R2			policy
B--undeclared-con-0.sexp	B	signature	undeclared-con	reject-R2			policy
B--wrong-theta-sort-0.sexp	B	signature	wrong-theta-sort	reject-R2			policy
B--out-of-scope-var-0.sexp	B	hidden-policy-extension	out-of-scope-var	reject-R12			policy
B--duplicate-backend-0.sexp	B	certificate-tampering	duplicate-backend	reject-R13			replay
B--unknown-backend-0.sexp	B	certificate-tampering	unknown-backend	reject-R13			replay
malformed/B--codec-junk-section-0.sexp	B	codec-corruption	codec-junk-section	codec-reject	wrong number of fields for check-input	check-input: malformed check input	-
malformed/B--codec-core-version-0.sexp	B	codec-corruption	codec-core-version	codec-reject	unsupported core version	unsupported core version	-
malformed/B--codec-replay-order-0.sexp	B	codec-corruption	codec-replay-order	codec-reject	replay-id core: expected (core	replay-id: wrong field order	-
malformed/B--codec-theory-mismatch-0.sexp	B	codec-corruption	codec-theory-mismatch	codec-reject	theory identity does not match replay identity	replay theories differ from unit theories	-
malformed/B--codec-dangling-attack-0.sexp	B	codec-corruption	codec-dangling-attack	codec-reject	attack endpoint is not a declared argument	attack endpoint is not a declared argument	-
malformed/B--codec-truncate-0.sexp	B	codec-corruption	codec-truncate	codec-reject	unclosed list	unclosed list	-
E1--undeclared-leaf-0.sexp	E1	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
E1--undeclared-leaf-1.sexp	E1	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
E1--hidden-rule-0.sexp	E1	hidden-policy-extension	hidden-rule	reject-R1			arg:0
E1--hidden-contrary-0.sexp	E1	hidden-policy-extension	hidden-contrary	reject-R12			policy
E1--wrong-subst-domain-0.sexp	E1	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
E1--wrong-premise-0.sexp	E1	wrong-formulas	wrong-premise	reject-R4			arg:0
E1--open-obligation-0.sexp	E1	open-obligations	open-obligation	reject-R5			arg:0
E1--hole-obligation-0.sexp	E1	open-obligations	hole-obligation	reject-IncompleteArgument			arg:0
E1--wrong-discharge-0.sexp	E1	open-obligations	wrong-discharge	reject-R6			arg:0
E1--trusted-assurance-0.sexp	E1	certificate-tampering	trusted-assurance	reject-R7			arg:0
E1--unlicensed-attack-0.sexp	E1	bad-attack-targets	unlicensed-attack	reject-R11			attack:0
E1--group-conflict-0.sexp	E1	data-integrity	group-conflict	reject-R9			group:mut_g
E1--undeclared-pred-0.sexp	E1	signature	undeclared-pred	reject-R2			policy
E1--wrong-pred-arity-0.sexp	E1	signature	wrong-pred-arity	reject-R2			policy
E1--wrong-arg-sort-0.sexp	E1	signature	wrong-arg-sort	reject-R2			policy
E1--wrong-arg-sort-1.sexp	E1	signature	wrong-arg-sort	reject-R2			policy
E1--undeclared-con-0.sexp	E1	signature	undeclared-con	reject-R2			policy
E1--wrong-theta-sort-0.sexp	E1	signature	wrong-theta-sort	reject-R2			policy
E1--out-of-scope-var-0.sexp	E1	hidden-policy-extension	out-of-scope-var	reject-R12			policy
E1--duplicate-backend-0.sexp	E1	certificate-tampering	duplicate-backend	reject-R13			replay
E1--unknown-backend-0.sexp	E1	certificate-tampering	unknown-backend	reject-R13			replay
malformed/E1--codec-junk-section-0.sexp	E1	codec-corruption	codec-junk-section	codec-reject	wrong number of fields for check-input	check-input: malformed check input	-
malformed/E1--codec-core-version-0.sexp	E1	codec-corruption	codec-core-version	codec-reject	unsupported core version	unsupported core version	-
malformed/E1--codec-replay-order-0.sexp	E1	codec-corruption	codec-replay-order	codec-reject	replay-id core: expected (core	replay-id: wrong field order	-
