case_id	program	policy	expected	features
all-forms-accept	all-forms.lara	surface.policy.lara	accept	labelled-premise,named-discharge,comparison,value-interpolation,cell-interpolation,named-cert-premise,named-formula,rule-binder,nd-binder,surface-attacks
rule-alpha-left	all-forms.lara	surface.policy.lara	accept	rule-binder
rule-alpha-right	all-forms.lara	rule-alpha-right.policy.lara	accept	rule-binder
nd-alpha-left	nd-alpha-left.lara	surface.policy.lara	accept	nd-binder,named-formula
nd-alpha-right	nd-alpha-right.lara	surface.policy.lara	accept	nd-binder,named-formula
comparison-accept	all-forms.lara	surface.policy.lara	accept	comparison
cell-interpolation-accept	all-forms.lara	surface.policy.lara	accept	value-interpolation,cell-interpolation
named-cert-premise-accept	all-forms.lara	surface.policy.lara	accept	labelled-premise,named-cert-premise
named-formula-accept	all-forms.lara	surface.policy.lara	accept	named-formula
capture-reject	capture-reject.lara	surface.policy.lara	reject:cert-binder-captures-premise	capture-rejection
ambiguous-premise-reject	ambiguous-premise-reject.lara	surface.policy.lara	reject:ambiguous-premise	ambiguous-premise-rejection
comparison-polarity-reject	all-forms.lara	comparison-polarity.policy.lara	reject:comparison-polarity	comparison-polarity-rejection
attack-path-reject	attack-path-reject.lara	surface.policy.lara	reject:attack-path	attack-path-rejection
conclusion-mismatch-reject	conclusion-mismatch-reject.lara	surface.policy.lara	reject:conclusion-mismatch	conclusion-mismatch-rejection
challenge-target-reject	challenge-target-reject.lara	surface.policy.lara	reject:challenge-target	challenge-target-rejection
unknown-status-reject	unknown-status-reject.lara	surface.policy.lara	reject:unknown-status	unknown-status-rejection
duplicate-group-id-reject	duplicate-group-id-reject.lara	surface.policy.lara	reject:duplicate-group-id	duplicate-group-id-rejection
group-repeated-member-reject	group-repeated-member-reject.lara	surface.policy.lara	reject:group-repeated-member	group-repeated-member-rejection
group-too-few-members-reject	group-too-few-members-reject.lara	surface.policy.lara	reject:group-too-few-members	group-too-few-members-rejection
group-member-undeclared-reject	group-member-undeclared-reject.lara	surface.policy.lara	reject:group-member-undeclared	group-member-undeclared-rejection
admission-prune-accept	admission-prune-open.lara	admission-prune.policy.lara	accept	admission-prune,open-obligation
observation-gap	observation-gap.lara	observation-gap.policy.lara	accept	rule-binder
observation-defeated	observation-defeated.lara	observation.policy.lara	accept	surface-attacks
observation-contested	observation-contested.lara	observation-contested.policy.lara	accept	surface-attacks
observation-no-extension	observation-no-extension.lara	observation-no-extension.policy.lara	accept	surface-attacks
