group	artifact	claim_id	claim_type	double_annotate	expected_status
paperbench	adaptive-pruning	C03	comparative	no	gap
paperbench	adaptive-pruning	C04	causal	yes	gap
paperbench	all-in-one	C01	comparative	no	gap
paperbench	all-in-one	C03	generalization	no	gap
paperbench	all-in-one	C05	descriptive	yes	gap
paperbench	all-in-one	C06	negative-result	no	gap
paperbench	bam	C05	comparative	yes	justified
paperbench	bam	C06	causal	yes	gap
paperbench	bbox	C02	comparative	no	gap
paperbench	bbox	C04	causal	no	gap
paperbench	bbox	C05	generalization	yes	gap
paperbench	bbox	C06	negative-result	no	gap
paperbench	bridging-data-gaps	C03	comparative	no	gap
paperbench	bridging-data-gaps	C05	causal	no	gap
paperbench	fre	C01	generalization	yes	justified
paperbench	fre	C03	generalization	no	gap
paperbench	fre	C04	causal	no	defeated
paperbench	ftrl	C01	negative-result	yes	gap
paperbench	lbcs	C03	descriptive	no	gap
paperbench	lbcs	C05	comparative	yes	gap
paperbench	mechanistic-understanding	C02	causal	no	gap
paperbench	mechanistic-understanding	C04	descriptive	no	gap
paperbench	pinn	C01	descriptive	no	justified
paperbench	pinn	C03	causal	yes	gap
paperbench	pinn	C05	comparative	no	gap
paperbench	rice	C01	comparative	no	justified
paperbench	robust-clip	C02	comparative	no	gap
paperbench	robust-clip	C03	descriptive	yes	gap
paperbench	robust-clip	C07	negative-result	yes	gap
paperbench	sample-specific-masks	C05	causal	no	justified
paperbench	sample-specific-masks	C06	comparative	no	justified
paperbench	sapg	C01	negative-result	no	gap
paperbench	sapg	C02	comparative	no	gap
paperbench	sapg	C06	causal	no	gap
paperbench	self-composing-policies	C01	descriptive	no	justified
paperbench	self-composing-policies	C04	comparative	yes	gap
paperbench	self-expansion	C03	causal	no	gap
paperbench	self-expansion	C04	generalization	no	gap
paperbench	semantic-self-consistency	C03	comparative	no	gap
paperbench	semantic-self-consistency	C05	descriptive	yes	gap
paperbench	semantic-self-consistency	C06	negative-result	no	gap
paperbench	sequential-neural-score-estimation	C04	comparative	yes	gap
paperbench	stay-on-topic-with-classifier-free-guidance	C02	comparative	no	gap
paperbench	stay-on-topic-with-classifier-free-guidance	C05	causal	no	gap
paperbench	stay-on-topic-with-classifier-free-guidance	C06	descriptive	no	gap
paperbench	stochastic-interpolants	C01	descriptive	no	gap
paperbench	stochastic-interpolants	C03	causal	no	gap
paperbench	test-time-model-adaptation	C04	negative-result	yes	defeated
paperbench	test-time-model-adaptation	C05	causal	no	gap
paperbench	test-time-model-adaptation	C07	comparative	yes	gap
paperbench	what-will-my-model-forget	C01	comparative	no	gap
paperbench	what-will-my-model-forget	C03	negative-result	no	gap
rebench	rebench-fix_embedding	C12	implementation-behavioral	no	gap
rebench	rebench-nanogpt_chat_rl	C04	implementation-behavioral	no	gap
rebench	rebench-restricted_mlm	C07	implementation-behavioral	no	gap
rebench	rebench-restricted_mlm	C14	implementation-behavioral	no	justified
rebench	rebench-rust_codecontests	C02	implementation-behavioral	yes	justified
rebench	rebench-rust_codecontests	C09	implementation-behavioral	no	gap
rebench	rebench-triton_cumsum	C05	implementation-behavioral	no	gap
rebench	rebench-triton_cumsum	C09	negative-result	yes	defeated
