ablation	input	base	family	operator	expected	full_actual	ablation_actual	missed_reject
no-cq	fixtures/mutants/A--undeclared-leaf-0.sexp	A	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/A--undeclared-leaf-1.sexp	A	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/A--hidden-rule-0.sexp	A	hidden-policy-extension	hidden-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/A--hidden-contrary-0.sexp	A	hidden-policy-extension	hidden-contrary	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/A--wrong-subst-domain-0.sexp	A	wrong-formulas	wrong-subst-domain	reject-R3	reject-R3	reject-R3	false
no-cq	fixtures/mutants/A--wrong-premise-0.sexp	A	wrong-formulas	wrong-premise	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/A--open-obligation-0.sexp	A	open-obligations	open-obligation	reject-R5	reject-R5	reject-R5	false
no-cq	fixtures/mutants/A--hole-obligation-0.sexp	A	open-obligations	hole-obligation	reject-IncompleteArgument	reject-IncompleteArgument	accept-defeated	true
no-cq	fixtures/mutants/A--wrong-discharge-0.sexp	A	open-obligations	wrong-discharge	reject-R6	reject-R6	reject-R6	false
no-cq	fixtures/mutants/A--trusted-assurance-0.sexp	A	certificate-tampering	trusted-assurance	reject-R7	reject-R7	reject-R7	false
no-cq	fixtures/mutants/A--bad-attack-position-0.sexp	A	bad-attack-targets	bad-attack-position	reject-R10	reject-R10	reject-R10	false
no-cq	fixtures/mutants/A--bad-attack-position-1.sexp	A	bad-attack-targets	bad-attack-position	reject-R10	reject-R10	reject-R10	false
no-cq	fixtures/mutants/A--unlicensed-attack-0.sexp	A	bad-attack-targets	unlicensed-attack	reject-R11	reject-R11	reject-R11	false
no-cq	fixtures/mutants/A--drop-covering-attack-0.sexp	A	bad-attack-targets	drop-covering-attack	reject-MissingConflict	reject-MissingConflict	reject-MissingConflict	false
no-cq	fixtures/mutants/A--group-conflict-0.sexp	A	data-integrity	group-conflict	reject-R9	reject-R9	reject-R9	false
no-cq	fixtures/mutants/A--retract-rule-0.sexp	A	localization	retract-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/A--twin-support-defect-0.sexp	A	localization	twin-support-defect	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/A--cross-stage-defect-0.sexp	A	localization	cross-stage-defect	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/A--undeclared-pred-0.sexp	A	signature	undeclared-pred	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--wrong-pred-arity-0.sexp	A	signature	wrong-pred-arity	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--wrong-arg-sort-0.sexp	A	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--wrong-arg-sort-1.sexp	A	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--undeclared-con-0.sexp	A	signature	undeclared-con	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--wrong-theta-sort-0.sexp	A	signature	wrong-theta-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--out-of-scope-var-0.sexp	A	hidden-policy-extension	out-of-scope-var	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/A--sigma-duplicate-sort-0.sexp	A	signature	sigma-duplicate-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--sigma-shadow-base-0.sexp	A	signature	sigma-shadow-base	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--sigma-duplicate-con-0.sexp	A	signature	sigma-duplicate-con	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--sigma-duplicate-pred-0.sexp	A	signature	sigma-duplicate-pred	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--sigma-con-undeclared-sort-0.sexp	A	signature	sigma-con-undeclared-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--sigma-pred-undeclared-sort-0.sexp	A	signature	sigma-pred-undeclared-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/A--duplicate-backend-0.sexp	A	certificate-tampering	duplicate-backend	reject-R13	reject-R13	reject-R13	false
