group	artifact	claim_id	title	statement	status	status_raw	falsification	proof	dependencies	provenance	tags
extra	andes	C01	The proposed QoE metric fully captures user experience in text streaming	The QoE metric defined as `QoE = 1 - S_delay/S_whole` (Equation 3) captures all four foundational user experience cases: perfect delivery, initial delay, slow streaming, and mid-stream pauses — including cases that TTFT and average TPOT cannot detect (e.g., Figure 5d pause scenario).	supported	supported	A scenario exists where QoE = 1 yet the user perceives degraded experience, OR QoE < 1 yet the user perceives perfect experience. Alternatively, TTFT and average TPOT capture all cases that QoE captures.	[E01]	none		QoE, metric, user-experience, text-streaming
extra	andes	C02	Andes improves average QoE by up to 4.7× compared to vLLM under bursty load	On synthetic cyclic burst traces across four model architectures and three datasets, Andes achieves up to 4.7× higher average QoE than vLLM (FCFS) when burst intensity is varied.	supported	supported	On the same hardware/models/traces, Andes achieves ≤1× average QoE improvement relative to vLLM.	[E02]	C01		QoE-improvement, burst, synthetic-trace, vLLM-comparison
extra	andes	C03	Andes saves up to 61% GPU resources while maintaining average QoE ≥ 0.95	To maintain average QoE ≥ 0.95, Andes requires up to 61% fewer GPUs compared to vLLM, or equivalently handles up to 2.6× more burst intensity with the same GPU count.	supported	supported	Andes requires ≥61% of vLLM's GPU resources (no savings) to maintain QoE ≥ 0.95 under the same load patterns.	[E02]	C01, C02		resource-efficiency, GPU-savings, burst-intensity
extra	andes	C04	Andes achieves QoE ≥ 0.95 for 97% of requests on real-world BurstGPT traces	On a one-hour BurstGPT trace replay, 97% of requests served by Andes achieve QoE ≥ 0.95, compared to only 75% under vLLM. Andes raises average QoE from 0.88 to 0.99 and reduces average TTFT from 10.5s to 1.8s.	supported	supported	Fewer than 97% of Andes-served requests achieve QoE ≥ 0.95 on the BurstGPT one-hour trace, or average TTFT is not reduced to 1.8s.	[E01]	C01, C02		real-world, BurstGPT, TTFT, QoE-distribution
extra	andes	C05	The overhead-aware refiner is necessary for high QoE; removing it causes QoE collapse	Andes without the overhead-aware refiner incurs excessive preemptions as burst duration increases, significantly degrading average QoE compared to Andes with the refiner.	supported	supported	Andes without overhead awareness achieves equivalent or higher average QoE compared to Andes with overhead awareness across all burst durations tested.	[E04]	C02		ablation, overhead, preemption, refiner
extra	andes	C06	The greedy knapsack solver achieves near-optimal QoE while being ~20× faster than 3D DP	The O(N log N) greedy solver achieves slightly better average QoE than the optimal O(MN²) 3D DP solver in real-time settings because its speed enables more frequent scheduling decisions. It runs approximately 20× faster than the DP solver.	supported	supported	The greedy solver achieves substantially lower QoE than the 3D DP solver, or the speed advantage is less than 2×.	[E05]	C02		algorithm, greedy, dynamic-programming, solver-comparison
extra	andes	C07	Andes reduces peak queue length by 85% compared to vLLM on BurstGPT	Under the one-hour BurstGPT trace, Andes reduces peak waiting queue length during load surges by 85% through token-level preemptive scheduling.	supported	supported	Peak queue length reduction is less than 85% under the same BurstGPT trace and hardware configuration.	[E01]	C04		queue-length, head-of-line-blocking, BurstGPT
extra	andes	C08	Andes's QoE improvement is robust across model architectures, datasets, and arrival distributions	Andes consistently outperforms vLLM, Sarathi-Serve, and LQSF in average QoE across Dense/MoE architectures, MHA/GQA attention, three input/output datasets, varying burst intensities, burst durations, and Poisson arrival patterns.	supported	supported	There exists a tested model/dataset/arrival-pattern combination where Andes does not outperform all baselines in average QoE.	[E02, E03, E06]	C02, C03		robustness, generalization, model-diversity, dataset-diversity
extra	expbench	C01	Individual phase scores for AI agents on EXP-Bench reach 20–35% but do not reflect end-to-end competence	On EXP-Bench, leading AI agents achieve design correctness (D) of 6.4–20.6%, implementation correctness (I) of 10.0–35.0%, and conclusion correctness (C) of 0.0–14.9%, but these scores conceal near-zero end-to-end performance.	supported	supported	If any agent achieves All✓ > 10% while also achieving D, I, C individually above 20%, then individual scores would not mask end-to-end failure.	[E01]	none		benchmarking, partial scoring, agent evaluation, design, implementation, conclusion
extra	expbench	C02	The complete end-to-end experiment success rate (All·E✓) for the best AI agent is 0.5%	OpenHands + o3-mini, the top-ranked agent, achieves All·E✓ = 0.5% across 461 EXP-Bench tasks, where All·E✓ requires correct design, implementation, conclusion, and executable code.	supported	supported	If a re-evaluation of OpenHands + o3-mini on the same 461 tasks produces All·E✓ > 5%, then this claim would be refuted.	[E01]	C01		end-to-end, executability, benchmark, o3-mini, OpenHands
extra	expbench	C03	Applying conjunctive evaluation metrics progressively reduces average agent score from 20.6% to 0.2%	Among the execution-verified subset of tasks, average score decreases monotonically: M alone = 20.6%, M·C·D = 3.7%, M·C·D·I = 0.4%, M·C·D·I·E = 0.2%.	supported	supported	If the score at any conjunction step is not strictly lower than the previous step for the majority of agents, this claim would be refuted.	[E02]	C01, C02		conjunctive metrics, evaluation, progressive scoring, brittleness
extra	expbench	C04	Missing essential implementation components is the most prevalent failure mode (39.71%)	"Among all identified implementation failures across all agent-task pairs, 39.71% are classified as ""Missing Essential Implementation Components,"" making it the single largest failure category."	supported	supported	If a re-analysis of the same 3,238 raw failure insights yields a different failure type with prevalence ≥ 39.71%, this claim would be refuted.	[E03]	none		failure analysis, implementation, missing components, bottleneck
