group	artifact	node_id	title	hypothesis	failure_mode
extra	andes	N03	Can existing metrics (TTFT, P90/P99 TPOT) fully characterize user experience?	TTFT and average/P90/P99 TPOT together are sufficient to capture user experience.	TPOT misses mid-stream pauses (Figure 5d) where both TTFT and last-token latency are normal but the user experiences a long pause in the middle. Cascading delays from early tokens are also invisible to average TPOT.
extra	expbench	N04	Full manual curation is not scalable	Human experts can efficiently extract verified research tasks from papers	Key experimental details are scattered across paper body, appendix, supplementary, and codebase; interpreting them requires deep domain expertise; 2 hrs/paper × 51 papers = unsustainable for large-scale benchmark creation
extra	expbench	N12	Existing benchmarks insufficient for end-to-end AI experimentation evaluation	Existing benchmarks (MLE-Bench, RE-Bench, PaperBench, ScienceAgentBench) can serve as evaluation infrastructure for end-to-end AI research experimentation	MLE-Bench: constrained Kaggle environment, simplified metrics; RE-Bench: 7 tasks, insufficient scale; PaperBench: focuses on script execution not implementation; ScienceAgentBench: isolates analysis, no actual execution; none capture full design→implementation→execution→conclusion pipeline
extra	venn	N05	Direct ILP/MCF exact formulation	Formulate IRS as integer multi-commodity flow and solve exactly.	NP-hard (Even et al., 1975); computationally infeasible at planetary scale with thousands of devices and hundreds of jobs.
extra	venn	N06	Apply SRSF (Shortest Remaining Service First) from cluster scheduling	SRSF from datacenter scheduling minimizes average JCT.	SRSF does not account for overlapping eligibility sets across job groups; wastes scarce Emoji-eligible devices on Keyboard job (Figure 3, avg JCT=11 vs optimal 9.3).
extra	venn	N11	Always assign highest-tier (fastest) devices to every job	Consistently assigning top-tier devices minimizes response collection time.	Restricts device pool (fewer devices available), significantly increasing scheduling delay under contention. Also reduces participant diversity, potentially harming model quality.
paperbench	adaptive-pruning	N03	Static LoRA ranks + post-training structured pruning (CPET approach)	Static LoRA adapters can compensate for parameters removed by structured pruning	Static tuning parameters cannot adapt to the dynamically changing parameter space during pruning; results in noticeable performance loss and extra training costs
paperbench	adaptive-pruning	N06	Use only tuning parameter salience (LRP approach)	Salience of LoRA matrices W_A, W_B suffices to proxy frozen weight importance	Misses frozen weight contribution; leads to sub-optimal block selection; LRP results confirm performance gap vs APT
paperbench	adaptive-pruning	N14	Uniformly increasing ranks across all adapter layers	Adding tuning parameters uniformly across all layers recovers pruned model performance equally well	Uniform rank increase achieves only 84.4 on MNLI (vs 86.4 with salience-based allocation); wastes budget on low-importance layers
paperbench	all-in-one	N03b	Training solely on posterior mask as an ablation	Training only on posterior mask (like NPSE) should achieve best posterior C2ST since it specializes	Training on all conditionals achieves similar or better posterior C2ST compared to posterior-only training; no meaningful gain from specialization
paperbench	all-in-one	N03c	Attempting strict conditional independence enforcement with undirected graphs	Undirected attention masks would enforce exact conditional independencies between variables	Undirected graphs connect all nodes within components given enough transformer layers; cannot enforce specific independencies beyond disconnected components (only directed graphs can)
paperbench	bam	N05	Direct Monte Carlo minimization of D(q;p)	Minimize Monte Carlo estimate of D(q;p) via reparameterization trick and SGD	Reparameterization-based gradient of D̂_q(q;p) couples sampling distribution with optimization variable; leads to gradient-based method that does not exploit Gaussian structure. Same sensitivity issues as ADVI.
paperbench	bam	N12	Constant learning rate for non-Gaussian targets	Constant λ_t = BD works for non-Gaussian targets as well as Gaussian	Constant λ_t does not converge for non-Gaussian targets; algorithm oscillates. Decaying λ_t = BD/(t+1) is required (verified in Figure E.5).
paperbench	bbox	N03	Grey-box approaches (CombLM, Proxy-Tuning, kNN-Adapter, IPA) for black-box adaptation	Token-level probability combination methods could work on recent black-box LLMs	Output token probabilities are inaccessible in GPT-3.5-turbo, GPT-4, PaLM-2; even top-5 logprobs are insufficient for full vocabulary distribution modeling
paperbench	bbox	N06	Standard MLE or MCMC for EBM training	Direct MLE or MCMC sampling could estimate Z_theta(x) sufficiently	Computationally intensive and imprecise; MCMC for discrete text is especially problematic
